Unnamed: 0,source_id,ra,dec,l,b,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,X,Y,Z,v_a_lsr,v_d_lsr,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,radial_velocity,radial_velocity_error,g_rp,bp_rp,mag_abs_g,ruwe,fidelity_v2,labels,stability,age,mass,u_lsr,v_lsr,w_lsr,brown_dwarf_candidate,rv_computed,rv_a17,rv_a17_scatter,rv_a17_error,rv_dr3,rv_dr3_error,a17_dr3,distance,distance_error,x,x_error,y,y_error,z,z_error,u,u_error,v,v_error,w,w_error,vx,vx_error,vy,vy_error,vz,vz_error,l_error,b_error,binsct_1,bindif_1,rve_1,binsct_3,bindif_3,rve_3,ScoBody_Outlier,etaLup_Outlier,phiLup_Outlier,V1062_Outlier,x_mc_mean,x_mc_std,y_mc_mean,y_mc_std,z_mc_mean,z_mc_std,u_mc_mean,u_mc_std,v_mc_mean,v_mc_std,w_mc_mean,w_mc_std
12920,6731215858902470528,285.19709511501065,-36.79651972834949,0.0063458522057543,-17.590865382108138,6.134395314901477,5.625339734900161,-27.809317750263627,0.13332629,0.12753133,0.16686875,0.1628562,0.13101512,0.16937377,-0.1642147,-0.20787488,-0.09418883,-0.5206519000000001,0.06038883,-0.35046312,-0.25494954,0.1584092999999999,0.05704681,155.39385025547557,0.00738802454768,-49.26178775078718,-0.8201399700917765,-6.374431381937175,12761.503235212163,29.602453000000004,431.09613,73.84323,15.422612,2499.69657964826,33.8514,16.843823999999998,31626.47386301045,59.290447,533.4159999999998,13.497768,-0.20371598,0.19457375,1.924844,3.3460559999999986,9.361470797544673,1.6679554,1.0,1,16.9,9,0.333,,,,False,-3.720471061726237,-0.20371598,0.113552086,0.19457375,,,,163.15595396929507,4.265824827155057,155.59278165722307,4.06323975728372,0.017054960722415,0.3533234711530374,-49.32976560774331,1.318865006697693,-3.766093225920225,0.2203504009789289,-18.50278197741773,0.4956082625074667,-11.20233437520116,0.3208338405892764,7.333906774079774,0.2203504009789289,-6.262781977417727,0.4956082625074667,-3.952334375201158,0.3208338405892764,0.1303377373563272,0.105865461365736,False,False,True,False,False,True,False,False,False,False,155.58128967060858,4.241535097838123,0.033405439316015785,0.3753412076063616,-49.327156580905914,1.3435179722050752,-3.748504821555131,0.20083359438422027,-18.510739115229544,0.5233209010598687,-11.200521715544866,0.36673761016066203
12921,6731216408658348032,285.24188057198364,-36.75147952064361,0.0604831609947738,-17.60602185716068,6.395726038559687,5.723261484475301,-27.57852903041972,0.0169096239999999,0.015502819,0.018924164,0.021079399,0.0176615569999999,0.018298136,-0.15849338,-0.22348964,-0.04238149,-0.35110813,0.030219387,-0.39278236,-0.14543258,0.15577708,-0.041512914,149.0301148441169,0.1569977319375652,-47.29379612483065,-0.9375113555658652,-5.334299336680998,92379.89290966596,408.37408,226.2139,56.38311,13.273423,21124.61030704769,374.66202,14.52657,107417.8838726626,1264.6478,84.93897,12.170204,-0.91937286,0.24837689,1.1032189999999993,2.3563660000000013,7.302872262167419,1.3480493,1.0,1,97.9,9,0.7289111761261329,,,,False,-3.733877529395649,-0.91937286,0.24362366,0.24837689,,,,156.36072033180866,0.4539626658952482,149.05340675665622,0.4145793912119813,0.1573493253160517,0.0417509969079276,-47.299801142187285,0.138064379716113,-4.265659640354054,0.2385878661077204,-17.549648534658047,0.0504734556808805,-10.515986377959027,0.0812801336150029,6.834340359645947,0.2385878661077204,-5.309648534658048,0.0504734556808805,-3.265986377959026,0.0812801336150029,0.0160404925238656,0.0140858268968401,False,False,True,False,False,True,False,False,False,False,149.03138922226543,0.4994708456713818,0.15959966003640064,0.05090119941128029,-47.294236318250654,0.16281526836380786,-4.284027087571726,0.2315364941707365,-17.548098714132202,0.06216208616425278,-10.508637436796356,0.08544775379931219
12930,6731268601100885888,285.0065808307786,-36.618319027544686,0.1195783400083995,-17.382366355438325,6.490118510329312,3.79283096722908,-27.390281154736822,0.021486716,0.021116879,0.024015117,0.024881301,0.021810822,0.24670765,-0.019422602,-0.27264506,-0.20204803,-0.31802034,-0.11852687,-0.44134584,-0.18412204,0.10613171,0.14301807,147.04351641693748,0.305520110005574,-46.031271291922494,-2.344417627451055,-4.906458825199764,119626.18521392065,586.69305,203.8991,61.42175699999999,12.992802,30861.575546213124,502.4535,14.114997,136728.39563799865,1474.0386,92.757675,11.908249,-2.18968,0.1,1.0845529999999997,2.206748000000001,7.054065135706126,1.3266786,1.0,1,100.0,9,0.7417756990697707,,,,False,-3.7902199794583527,-2.18968,0.07688946,0.1,,,,154.09387305323733,0.5856478443165867,147.0761200973912,0.5713091347452174,0.3069583619382502,0.0544877584623481,-46.04125728018556,0.1836777455884418,-4.991331270266174,0.0964064771937494,-17.65328162037992,0.0705248292216976,-8.736874722231642,0.0505470413361659,6.108668729733827,0.0964064771937494,-5.41328162037992,0.0705248292216976,-1.4868747222316427,0.0505470413361659,0.0212141246942349,0.0175737353992935,False,False,True,False,False,True,False,False,False,False,147.01436539887308,0.5944366866385848,0.3036365648540372,0.06703468266204247,-46.02085825698753,0.18390176408736741,-4.993936303959053,0.09372984174154056,-17.646363628216978,0.07470241866229838,-8.730254718610306,0.05454886799194979
12976,6733029400266587392,279.1690447614092,-37.655195658303725,-2.730734245656577,-13.485757559692969,6.4290787596731445,-0.4954107925354738,-27.14234392077024,0.01826024,0.0156038385,0.019866414,0.0231904,0.017838366,-0.063931875,-0.14330472,-0.06781382,-0.050631914,-0.25021958,-0.0655224,-0.20553628,0.09750137,0.028333198,-0.17211504,151.08255587974134,-7.206348542145527,-36.27453536602373,-3.8475430439720326,-4.49534623415386,7714079.49687572,2143.3447,3599.0847,1268.1814,8.469156,4890930.459219463,3856.649,8.615064,4192923.7778725913,2554.1853,1641.5895,8.191603,-0.91416085,0.69366,0.2775529999999993,0.4234609999999997,2.509899730675496,0.9142035,1.0,2,99.7,9,1.787,-3.5867010935629,-18.277365311330943,-7.387643244300902,False,-3.037711954191237,,,,-0.91416085,0.69366,,155.54683919071002,0.4714052352175393,151.09802945869498,0.4633101431433034,-7.206838977135796,0.0482353140521204,-36.27690180531927,0.1182626528784251,-3.618461098353423,0.6560073508799611,-18.27783040144969,0.0666802884688638,-7.380775303409758,0.1601955895856921,7.481538901646576,0.6560073508799611,-6.037830401449688,0.0666802884688639,-0.1307753034097574,0.1601955895856921,0.0160364974917189,0.0148002714657638,False,False,True,False,False,True,False,False,False,False,151.08542844761485,0.5283629753727266,-7.206677020937201,0.0492635857419494,-36.27458623645129,0.13499435822700742,-3.544380326164778,0.6643763830582902,-18.28034364213059,0.07329178634652204,-7.3980360398469385,0.16217191620720459
12988,6733422402643171840,278.52885128351966,-36.13346879407545,-1.5247485824725482,-12.392130411425285,7.2791853373441935,-0.1286489837025635,-29.778211404893497,0.011202811,0.010689961,0.013473564,0.014215777,0.011344226,0.1864881,-0.15683633,-0.12787905,-0.15443417,-0.44945917,-0.039404467,-0.45270994,-0.1600642,0.23134384,0.07871657,134.12979541647704,-3.5712195409755907,-29.481556142659286,-3.384492424944852,-4.084125213353036,339734.6941495706,418.80655,811.1972,218.64386,11.859517,129572.8067808582,592.62036,12.557258,301924.7561592274,1035.972,291.44104,11.048149,-4.3944416,0.7390292,0.8113679999999999,1.5091090000000005,6.169930886061369,0.85595334,1.0,2,96.1,9,0.9164504324901528,-6.481560807188218,-17.48915759652725,-6.892891211573071,False,-3.56130610292924,,,,-4.3944416,0.7390292,,137.35315586779396,0.253054515797372,134.09590544620173,0.241584496016481,-3.569385803408936,0.0249230500528972,-29.47402482956232,0.0571309190338221,-6.485826832080274,0.75495821695103,-17.484504162102183,0.0383972378377902,-6.889938787274345,0.1667012464242246,4.614173167919725,0.75495821695103,-5.244504162102182,0.0383972378377901,0.3600612127256546,0.1667012464242246,0.0103759320281829,0.0094600442916358,False,False,True,False,False,True,False,False,False,False,134.14622175909295,0.31262330744305467,-3.57189876350547,0.03386903027109016,-29.487533770689204,0.07221602951147162,-6.453152721042688,0.7083306906101954,-17.492705185177872,0.04826957270893657,-6.899943829748334,0.15827113750709398
13068,6734855001900424704,277.8468482032613,-34.75022692357568,-0.484259268520832,-11.304389136201566,6.9449311976962935,-0.9277054599017728,-27.74435072506553,0.023789654,0.02049959,0.030145446,0.030369673,0.022388909,-0.15433154,0.21110588,-0.028661849,-0.01787157,-0.39009023,-0.015782606,-0.33032683,-0.28454655,0.360956,-0.08341273,141.19153094011904,-1.192690863926046,-28.22450194496023,-3.74009451103134,-3.82830676310404,10303327.26535474,4105.7607,2509.4807,1115.4539,8.154923,6956836.501579751,6236.7764,8.232512,5062353.387851282,3926.1482,1289.3944,7.9870142999999985,-6.7366347,0.79143643,0.1679087000000017,0.2454977000000013,2.363262738050784,0.83192015,1.0,2,100.0,9,1.787,-8.226430872871994,-17.32375032748892,-6.052651845401005,False,-4.034314996569608,,,,-6.7366347,0.79143643,,144.0043292178259,0.6256535370202252,141.19511793882353,0.606710119746088,-1.1934002707514415,0.0510437653584601,-28.22583045157449,0.1308642298467625,-8.268036154507977,0.7840233933141275,-17.324417073943494,0.0774970976581893,-6.044159688709407,0.1620181732444498,2.831963845492025,0.7840233933141275,-5.084417073943491,0.0774970976581893,1.205840311290593,0.1620181732444498,0.0205800556566599,0.0190970048862729,False,False,True,False,False,True,False,False,False,False,141.20753658209122,0.6443198525171766,-1.1898044735980404,0.05521520492063475,-28.22853331424794,0.1245446242578404,-8.21542038108257,0.8127246718927915,-17.326507353384585,0.08233353805257014,-6.055388312565152,0.16930892268961084
